video_id,description,emoji_count,likes,days_old,timestamp
7559313483398008095,Never been accused of not keeping it 💯,1,1300000,6,2025-10-09 13:57:14
7559213788482866452,this is the emote girl😂😂#emote #nails💅 #comment #fyppppppppppppppppppppppp #creatorsearchinsights2025 #newnails,3,3300000,6,2025-10-09 7:30:17
7559313483398008095,Never been accused of not keeping it 💯,1,1300000,6,2025-10-09 13:57:14
7559313483398008095,Never been accused of not keeping it 💯,1,1300000,6,2025-10-09 13:57:14
7558605401030167863,The goat in the background watching like👀 permission to parody from @Gianna wulff #fyp #couplescomedy #comedy,1,3700000,8,2025-10-07 16:09:33
7558954909354200350,For everyone who thinks this was staged here’s the behind the scenes 🤣 I put too much trust into the fact that “she had something planned”,1,2400000,7,2025-10-08 14:45:45
7558605401030167863,The goat in the background watching like👀 permission to parody from @Gianna wulff #fyp #couplescomedy #comedy,1,3700000,8,2025-10-07 16:09:33
7559392002459110711,SO MUCH FUN!!! ♥️ #fypシ #movienight #spooky #fatherandson,1,3200000,5,2025-10-09 19:02:06
7559213788482866452,this is the emote girl😂😂#emote #nails💅 #comment #fyppppppppppppppppppppppp #creatorsearchinsights2025 #newnails,3,3300000,6,2025-10-09 7:30:17
7558605401030167863,The goat in the background watching like👀 permission to parody from @Gianna wulff #fyp #couplescomedy #comedy,1,3700000,8,2025-10-07 16:09:33
7559698382902660365,Hate it when that happens😉#fyp #comedy #skit #couplescomedy,1,806300,5,2025-10-10 14:51:23
7559313483398008095,Never been accused of not keeping it 💯,1,1300000,6,2025-10-09 13:57:14
7559336083335499022,I will forever dedicate my time and energy to continue to make it right to the people who value my teams hard work and have respected us and supported us since day one.  #review #influencer #bakery,0,7700000,6,2025-10-09 15:25:17
7559336083335499022,I will forever dedicate my time and energy to continue to make it right to the people who value my teams hard work and have respected us and supported us since day one.  #review #influencer #bakery,0,7700000,6,2025-10-09 15:25:17
7559313483398008095,Never been accused of not keeping it 💯,1,1300000,6,2025-10-09 13:57:14
7558954909354200350,For everyone who thinks this was staged here’s the behind the scenes 🤣 I put too much trust into the fact that “she had something planned”,1,2400000,7,2025-10-08 14:45:45
7559698382902660365,Hate it when that happens😉#fyp #comedy #skit #couplescomedy,1,806400,5,2025-10-10 14:51:23
7558538554670845214,oooof 🥴 full video on yt Tricia & Kam #fyp #couple #funny #viral,1,7600000,8,2025-10-07 11:50:09
7559256592235924791,"one of the many times him & his mommy ruined my pregnancy, birth, & partum experience. (yes, im trauma dumping years later because this is my story & i can & will tell it.) #pregnancy #postpartum #genderreveal #foryoupage #fyp ",0,3800000,6,2025-10-09 10:16:34
7558298751073406222,Was so nervous for this #cheater #cheaterbuster #tinder #wife #cheating,0,2800000,8,2025-10-06 20:19:56
7559313007373733151,"Almost 2 monthts postpartum twin belly update. Haven’t started any core exercises yet, maybe posting updates will help me stay accountable.. . . . #postpartum #postpartumjourney #postpartumbody #sugaronmytongue ",0,1900000,6,2025-10-09 13:55:22
7559068049400188173,,0,7000000,6,2025-10-08 22:04:53
7559438181884579102,#fyp #txst #foryoupage,0,2600000,5,2025-10-09 22:01:18
7559109281694502157,This is not an exaggeration 😔 #japanhotelroom #japanhotels #hotelsinjapan,1,6200000,6,2025-10-09 0:45:00
7558532769039584534,I’m not that kind of person…,0,16300000,8,2025-10-07 11:27:33
7559406377261632799,"They heard ""shoulder"" and JUMPED on me. And the one up on the bed on top of me was over 6 months pregnant. They are angels😭🫶🏼 I will never forget them!! He may have had a broken arm, but it's so much better than the alternative.  All the glory to God for protecting us 🥺 I'll tell my birth story one day, it is one for the books #shoulderdystocia #aura #birth #laboranddelivery #labor",4,1400000,5,2025-10-09 19:57:49
7557945996534123789,,0,6400000,9,2025-10-05 21:31:13
7559039106102218039,DC: @Kait 🌤️ ❤️@Dax Flame,2,1800000,6,2025-10-08 20:12:50
7558354411207134477,#riley,0,5200000,8,2025-10-06 23:56:46
7559028279383018807,I knew this day would come when I was told we’d have to work with it for state board 🫠 #cosmetologyschool #stateboard #cosmetology #phobia #sidonglobophobia,1,2300000,6,2025-10-08 19:30:52
7559291440614935838,EDIT: guys this video is not about Angel Reese or promoting EDs. I have no idea where that’s coming from😭 #fyp #victoriassecret #victoriassecretangel,1,2600000,6,2025-10-09 12:31:45
7558314374654364959,I’m his little flappy bird #trends #couplegoals #bird #marriedlife #fypシ,0,2000000,8,2025-10-06 21:20:22
7559077388718509320,i actually can’t stop laughing. poor girl but also so funny disclaimer: she is fine and got all the cuddles and kisses after #fyp #foryou #dog #kelpie #funnydog,0,4700000,6,2025-10-08 22:40:58
7558901528715726111,#nails #clearnails #trendingnails #trendingvideo #viral,0,2400000,7,2025-10-08 11:18:40
7558879914238233886,#jagua #dog #cat,0,19500000,7,2025-10-08 9:54:47
7559313483398008095,Never been accused of not keeping it 💯,1,1300000,6,2025-10-09 13:57:14
7559313483398008095,Never been accused of not keeping it 💯,1,1300000,6,2025-10-09 13:57:14
7559213788482866452,this is the emote girl😂😂#emote #nails💅 #comment #fyppppppppppppppppppppppp #creatorsearchinsights2025 #newnails,3,3300000,6,2025-10-09 7:30:17
7558954909354200350,For everyone who thinks this was staged here’s the behind the scenes 🤣 I put too much trust into the fact that “she had something planned”,1,2400000,7,2025-10-08 14:45:45
7559698382902660365,Hate it when that happens😉#fyp #comedy #skit #couplescomedy,1,806400,5,2025-10-10 14:51:23
7558954909354200350,For everyone who thinks this was staged here’s the behind the scenes 🤣 I put too much trust into the fact that “she had something planned”,1,2400000,7,2025-10-08 14:45:45
7559698382902660365,Hate it when that happens😉#fyp #comedy #skit #couplescomedy,1,806400,5,2025-10-10 14:51:23
7558954909354200350,For everyone who thinks this was staged here’s the behind the scenes 🤣 I put too much trust into the fact that “she had something planned”,1,2400000,7,2025-10-08 14:45:45
7559698382902660365,Hate it when that happens😉#fyp #comedy #skit #couplescomedy,1,806400,5,2025-10-10 14:51:23
7559313483398008095,Never been accused of not keeping it 💯,1,1300000,6,2025-10-09 13:57:14
7558954909354200350,For everyone who thinks this was staged here’s the behind the scenes 🤣 I put too much trust into the fact that “she had something planned”,1,2400000,7,2025-10-08 14:45:45
7559698382902660365,Hate it when that happens😉#fyp #comedy #skit #couplescomedy,1,806400,5,2025-10-10 14:51:23
7559313483398008095,Never been accused of not keeping it 💯,1,1300000,6,2025-10-09 13:57:14
