Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes
SOLO,SOLO,JENNIE,11/12/2018,4339,20.2,622229689,39229,67,449312389,7193977
Love Songs - Bonus,Love Songs,Kaash Paige,11/19/2018,2031,32,478086665,80058,73,121801747,1355380
Sundress,Sundress,A$AP Rocky,11/20/2018,4256,20.5,595930584,153078,80,47780609,656845
Leja Re,Leja Re,Dhvani Bhanushali,11/24/2018,3504,23,64612903,7444,55,1035234284,6201188
Pure Cocaine,Street Gossip,Lil Baby,11/30/2018,928,50,652559944,170734,74,317320682,2195610
Going Bad (feat. Drake),Championships,Meek Mill,11/30/2018,1330,40.7,1189579197,190095,73,339988703,2979918
Faucet Failure,STOKELEY,Ski Mask The Slump God,11/30/2018,1601,36.6,571258899,121284,66,180999094,2026987
Calling My Spirit,Calling My Spirit,Kodak Black,11/30/2018,1799,34.3,298721490,69136,59,162438129,1112123
Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,11/30/2018,1852,33.7,942092206,129847,68,561103775,5753715
Say My Name (feat. Bebe Rexha & J Balvin) - Corey James Remix,Say My Name (Remixes),Bebe Rexha,11/30/2018,3074,25,2447043,627,18,1160920513,6813408
Easy,The Plan,DaniLeigh,11/30/2018,4403,19.9,41808541,7802,46,491827513,3638561
Roses (with Juice WRLD feat. Brendon Urie),Roses (with Juice WRLD feat. Brendon Urie),benny blanco,12/5/2018,2772,26.7,475881575,74084,57,40942190,516795
Look Back At It,Look Back At It,A Boogie Wit da Hoodie,12/7/2018,912,50.5,769061748,136145,73,233288549,2397744
"Gali Gali (From ""Kgf Chapter 1"")","Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,12/13/2018,3515,23,74027513,5648,59,1014261335,4638798
Love Shot,LOVE SHOTï¿½ï¿½ï¿½ The 5th Album Rep,EXO,12/13/2018,4207,20.6,358620184,30692,65,710463080,9902612
Lily,Different World,Alan Walker,12/14/2018,870,51.8,403860053,45516,66,1057546150,7402999
Amanece,Amanece,Anuel AA,12/14/2018,1457,38.4,784096553,80071,77,979304024,4295929
Aullando,"Los Campeones del Pueblo ""The Big Leagues""",Wisin & Yandel,12/14/2018,3403,23.5,407025386,32596,62,742853552,2408323
a lot,i am > i was,21 Savage,12/21/2018,872,51.7,949835159,219301,73,905118647,6526285
ball w/o you,i am > i was,21 Savage,12/21/2018,2068,31.7,637055162,167409,77,138716504,1556410
Swervin (feat. 6ix9ine),Hoodie SZN,A Boogie Wit da Hoodie,12/21/2018,2660,27.3,815243082,140617,66,258514568,1970363
Fire On Fire,Fire On Fire,Sam Smith,12/21/2018,2900,25.9,697834321,85430,70,408377555,3474229
Si Estuviï¿½ï¿½semos Ju,X 100PRE,Bad Bunny,12/23/2018,2106,31.4,893876704,86788,75,824238458,5274687
NI BIEN NI MAL,X 100PRE,Bad Bunny,12/23/2018,3735,22.2,461199840,57617,61,457134135,3745990
La Romana,X 100PRE,Bad Bunny,12/23/2018,4191,20.7,410897040,71655,68,428412819,3256737
Wow.,Wow.,Post Malone,12/24/2018,657,59.3,1680612367,201840,74,630890897,5912252
Poesia Acï¿½ï¿½stica #6: Era uma,Poesia Acï¿½ï¿½stica #6: Era uma,Pineapple StormTv,12/24/2018,3397,23.5,290101322,29494,66,895286211,5619411
Baila Conmigo (feat. Kelly Ruiz),Baila Conmigo (feat. Kelly Ruï¿½ï,Dayvi,12/28/2018,3797,21.9,417257612,76682,62,301418451,2797161
Astronaut In The Ocean,Astronaut In The Ocean (International Remixes),Masked Wolf,1/1/2019,486,70,1251675613,233472,67,1001433936,13378087
Cradles,Cradles,Sub Urban,1/4/2019,418,75.2,737097685,155765,68,1098942075,19179674
Baila Baila Baila,Baila Baila Baila,Ozuna,1/5/2019,2845,26.2,563326343,71108,64,619678799,3452638
"She Don't Know (From ""Blessed"")","She Don't Know (From ""Blessed"")",Millind Gaba,1/9/2019,3030,25.2,32433183,3830,50,691599357,5063166
Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),Sam Smith,1/11/2019,663,59.1,1349115675,113525,71,1029803478,4717155
Lost in the Fire (feat. The Weeknd),Lost in the Fire (feat. The Weeknd),Gesaffelstein,1/11/2019,2564,27.9,895496661,158437,75,60795572,663427
Giant (with Rag'n'Bone Man),Giant (with Rag'n'Bone Man),Calvin Harris,1/11/2019,3119,24.7,670319557,100046,65,432616080,2355880
Secreto,Secreto,Anuel AA,1/15/2019,957,49.2,759388276,68502,65,1595484197,8161642
Pure Water (with Migos),Pure Water (with Migos),Mustard,1/16/2019,1971,32.5,726877512,145514,66,383840816,2770217
Shotta Flow,Shotta Flow,NLE Choppa,1/17/2019,4379,20,257646451,58760,17,394204600,5104881
7 rings,7 rings,Ariana Grande,1/18/2019,274,93.9,2262490403,179865,77,1903198886,22206277
Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,1/18/2019,1935,32.9,1016283394,103794,68,460509010,3376276
Un Aï¿½,Un Aï¿½,Sebastian Yatra,1/18/2019,2819,26.4,573290850,44972,67,830580317,5534299
One Man Band,Old Dominion,Old Dominion,1/18/2019,3132,24.6,439281048,44726,75,225336788,1288065
Con Calma,Con Calma,Daddy Yankee,1/24/2019,236,101.4,1353028938,160122,73,3207187334,16913257
MIDDLE CHILD,MIDDLE CHILD,J. Cole,1/24/2019,836,53.1,1285518117,221749,74,606135388,5429579
i'm so tired...,i'm so tired...,Lauv,1/24/2019,4260,20.4,885986482,82322,66,221704345,2249771
I Hope,I Hope,Gabby Barrett,1/25/2019,1714,35.3,399778802,50441,66,271330319,1805049
bury a friend,bury a friend,Billie Eilish,1/30/2019,1739,35,1014870547,114243,68,574257361,9631821
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,2/1/2019,966,49.2,995452298,188608,65,464369299,4586152
Are You Bored Yet? (feat. Clairo),Are You Bored Yet? (feat. Clairo),Wallows,2/1/2019,3186,24.4,842749499,158456,76,125641322,2266385
"Coca Cola (From ""Luka Chuppi"")","Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,2/4/2019,3757,22.1,84890640,8746,59,939513536,3629985
Pop Out (feat. Lil Tjay),Pop Out (feat. Lil TJay),Polo G,2/7/2019,472,70.6,858059276,181654,70,464768581,3626173
Talk (feat. Disclosure),Talk,Khalid,2/7/2019,1065,46.4,968194426,121168,64,468753245,3701432
Worth It,Worth It,YK Osiris,2/8/2019,1125,44.8,340112388,66487,60,283340446,3313053
break up with your girlfriend i'm bored,thank u next,Ariana Grande,2/8/2019,1857,33.7,975281654,82431,69,672090558,7230344
death bed (coffee for your head),Some Boring Love Stories Pt. 2,Powfu,2/9/2019,268,94.8,1656385770,283938,74,1135382823,15066754
"Photo (From ""Luka Chuppi"")","Photo (From ""Luka Chuppi"")",Karan Sehmbi,2/12/2019,1149,44.3,72849488,9804,54,329389939,2348757
La Mejor Version de Mi,La Mejor Versiï¿½ï¿½n d,NATTI NATASHA,2/12/2019,2398,29.1,109221089,33020,66,974345116,4887786
Robbery,Robbery,Juice WRLD,2/13/2019,1131,44.7,1306374052,213493,73,606402216,5432558
"Don't Give Up On Me - (From ""Five Feet Apart"")","Don't Give Up On Me (From ""Five Feet Apart"")",Andy Grammer,2/13/2019,3463,23.2,509011250,72182,67,220773540,2241242
Please Me,Please Me,Cardi B,2/15/2019,1449,38.6,551035247,58065,70,709288321,7563367
A Mï¿,A Mï¿,Rels B,2/21/2019,2716,27,631152992,82632,76,655475553,3056895
Nira Ishq,Nira Ishq,Guri,2/21/2019,3873,21.7,102266938,5921,61,531503711,4123099
No Me Conoce,No Me Conoce,Jhay Cortez,2/22/2019,896,51,49585127,9710,47,2272109362,6577485
Clout (feat. Cardi B),FATHER OF 4,Offset,2/22/2019,2231,30.3,306221125,61432,58,635706453,4888312
The Bones,GIRL...The Bones,Maren Morris,2/22/2019,3556,22.8,461420009,32656,63,97498335,724848
Mï¿½ï¿½,Mï¿½ï¿½,Nio Garcia,2/22/2019,4015,21.3,76516847,14310,48,865812768,3458107
Si Se Da,Si Se Da,Myke Towers,2/26/2019,952,49.3,317223968,47247,54,1867482161,5147665
Sucker,Sucker,Jonas Brothers,3/1/2019,775,55,1411856834,128280,73,641158161,9661491
HP,HP,Maluma,3/1/2019,1997,32.3,614313540,55782,64,978997170,4042367
Suge,Baby On Baby,DaBaby,3/1/2019,2053,31.8,647501734,112493,62,447330965,3838459
Goin Baby,Baby On Baby,DaBaby,3/1/2019,4248,20.5,225260644,51066,53,75234764,918947
Arcade,Arcade,Duncan Laurence,3/7/2019,1029,47.4,1184536529,199838,69,439603979,6566306
So Am I,So Am I,Ava Max,3/7/2019,3558,22.8,570045987,57702,66,368297733,4429234
Bandit (with YoungBoy Never Broke Again),Death Race For Love (Bonus Track Version),Juice WRLD,3/8/2019,1538,37.5,925747848,178435,67,533593108,4430967
Location (feat. Burna Boy),PSYCHODRAMA,Dave,3/8/2019,2490,28.5,540907681,169023,70,281620086,1394656
Fast,Death Race For Love (Bonus Track Version),Juice WRLD,3/8/2019,3450,23.3,392674468,73288,62,119252275,1233579
Here With Me,Here With Me,Marshmello,3/8/2019,3564,22.8,676451716,70317,66,211922060,2621667
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,75,170.3,1010494713,127393,67,3203314695,41487213
El Efecto,El Efecto,Rauw Alejandro,3/15/2019,1766,34.7,580054244,72991,72,994008600,4660138
On My Way,On My Way,Alan Walker,3/21/2019,2119,31.3,670068696,75834,67,665558958,11599426
Te Robarï¿,Te Robarï¿,Nicky Jam,3/22/2019,2366,29.3,547483874,59096,61,768753162,3000650
Happy Birthday,Happy Birthday,Jovanie,3/22/2019,3793,21.9,37866,449,3,1855597,35730
Con Altura,Con Altura,ROSALï¿½,3/28/2019,566,63.9,770653954,81459,66,2296478541,10488884
Verte Ir,Verte Ir,DJ Luian,3/28/2019,2622,27.5,550967367,65928,64,728468384,3473098
Mala Fama,Mala Fama,Danna Paola,3/28/2019,3209,24.3,346737588,25823,62,859633229,5596983
DEUTSCHLAND,DEUTSCHLAND,Rammstein,3/28/2019,4296,20.3,460008347,82329,71,370078966,3950188
bad guy,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,3/29/2019,164,117.7,2516804300,296739,76,1779243626,26239833
Woah (feat. D3Mstreet),Woah,KRYPTO9095,3/29/2019,1315,41,92985109,21725,45,166739538,2648737
God's Country,God's Country,Blake Shelton,3/29/2019,1665,35.8,367775924,62389,62,312724268,1989112
i love you,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,3/29/2019,2390,29.2,930343185,116055,75,280579630,3517952
My Type,ICY,Saweetie,3/29/2019,3018,25.3,390907316,59994,67,302144296,3625031
all the good girls go to hell,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,Billie Eilish,3/29/2019,4008,21.3,640099263,74072,68,342695701,7870079
Lottery (Renegade),Lottery,K CAMP,4/1/2019,808,54,173526912,28272,46,102774513,1300907
Tal Vez,Tal Vez,Paulo Londra,4/3/2019,1350,40.3,751585271,75691,67,1245024291,7965155
Kill This Love,Kill This Love,BLACKPINK,4/4/2019,361,80.4,820840650,63934,67,2920436498,40314889
Old Town Road - Remix,Old Town Road,Lil Nas X,4/5/2019,404,76.2,1527106099,186252,68,11512,171
Cover Me Up,Cover Me Up,Morgan Wallen,4/5/2019,3499,23.1,457252350,58811,70,284333103,1250573
All Around The World (La La La),All Around The World (La La La),R3HAB,4/5/2019,3571,22.7,654965766,124386,68,147035496,1383677
Wrong,Wrong,Luh Kel,4/5/2019,4052,21.2,279660513,39887,60,273044816,3691413
Vaaste,Vaaste,Dhvani Bhanushali,4/6/2019,1540,37.4,126921341,13291,60,1598106066,13195302
La Playa,La Playa,Myke Towers,4/9/2019,3290,23.9,322757243,60278,62,640816810,3577858
SOS (feat. Aloe Blacc),SOS (feat. Aloe Blacc),Avicii,4/10/2019,3839,21.8,763658190,99429,66,155980021,1735488
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,4/12/2019,553,65,1165842896,62333,70,2104797932,35291841
De Los Besos Que Te Di,De Los Besos Que Te Di,Christian Nodal,4/15/2019,2182,30.7,518477840,40921,71,970377956,2794007
Colors,Colors,Black Pumas,4/16/2019,4014,21.3,215492373,91317,67,291742629,2585653
Otro Trago,Sueï¿½ï,Sech,4/18/2019,1172,43.8,693061510,73605,63,1315371330,9042596
Earth,Earth,Lil Dicky,4/18/2019,4152,20.8,211158013,32331,54,522628926,13614101
Monster,Monster,LUM!X,4/19/2019,3704,22.3,324575469,84886,66,84490948,834256
FANCY,FANCY YOU,TWICE,4/22/2019,3012,25.3,475639302,35569,67,816491835,8286772
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,4/25/2019,3314,23.9,650003788,101864,66,81796283,973317
Hola Seï¿½ï¿½o,Ceinture noire (Transcendance),GIMS,4/25/2019,3695,22.3,208249257,42423,58,639243342,3905330
ME! (feat. Brendon Urie of Panic! At The Disco),ME!,Taylor Swift,4/26/2019,3588,22.7,859985881,17061,,441233054,6454290
MIDDLE CHILD,TrapStar Turnt PopStar,PnB Rock,5/2/2019,3590,22.7,143152814,37044,53,111536750,1932048
The Git Up,The Git Up,Blanco Brown,5/3/2019,1506,37.8,346783267,70080,61,418672564,3547763
Ocean,OCEAN,KAROL G,5/3/2019,2149,31,312111545,30520,66,722096242,5368740
Danï¿½ï¿½a Ma,Danï¿½ï¿½a Ma,Bolofofos,5/3/2019,2536,28.1,10423140,1820,49,1126576126,2223950
Homicide (feat. Eminem),Homicide,Logic,5/3/2019,2751,26.8,526019789,102549,64,272873622,4245401
Hold Me While You Wait,Hold Me While You Wait,Lewis Capaldi,5/3/2019,2790,26.6,793528511,99106,70,318332999,2522360
Go Loko (feat. Tyga Jon Z),Go Loko,YG,5/3/2019,3306,23.9,359828344,77046,56,294072510,3184637
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,5/4/2019,417,75.2,1927961994,323997,72,320969468,3572454
Beer Never Broke My Heart,Beer Never Broke My Heart,Luke Combs,5/8/2019,3152,24.6,553360461,75237,76,147127840,639927
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,40,214.5,3071214106,375201,71,3366447481,27240268
I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,5/10/2019,735,56.5,1816356140,156748,70,1095859229,11144552
Hola,Climaxxx,Dalex,5/10/2019,2483,28.6,28185177,6572,42,1163245760,5110945
fast,Fast,Sueco,5/10/2019,3072,25,184246401,42246,53,26642994,675965
Cuaderno,Climaxxx,Dalex,5/10/2019,3511,23,415170963,57071,63,618739499,3018799
Those Eyes,Those Eyes,New West,5/10/2019,3613,22.6,785139012,119530,73,147215663,1730949
Soltera - Remix,Soltera (Remix),Lunay,5/10/2019,4180,20.7,960753774,96971,67,,
Uno,Uno,Ambjaay,5/10/2019,4497,19.6,128411645,25190,47,86561302,1275303
Before You Go,Divinely Uninspired To a Hellish Extent (Extended Edition),Lewis Capaldi,5/17/2019,611,61.3,1920784716,211573,77,814045992,8072383
EARFQUAKE,IGOR,Tyler The Creator,5/17/2019,1207,43.1,962546385,198786,76,262134097,4025958
11:00 PM,11:11,Maluma,5/17/2019,1596,36.7,719602988,64741,67,1040666593,3868761
No Me Conoce - Remix,No Me Conoce (Remix),Jhay Cortez,5/17/2019,2322,29.7,1367265268,135811,75,174911891,749591
NEW MAGIC WAND,IGOR,Tyler The Creator,5/17/2019,3703,22.3,617991511,145653,74,100752374,1194201
Big Gangsta,Big Gangsta,Kevin Gates,5/17/2019,4454,19.8,199248929,60481,56,261079023,2146409
Ransom,Ransom,Lil Tecca,5/22/2019,307,86.8,1355971796,198992,77,749040183,8156272
Everybody make some Tik Tok,Everybody make some some Tik Tok,Bounce Oï¿½ï¿½ï¿,5/22/2019,2621,27.5,532262,481,13,,
Speechless (Full),Aladdin (Original Motion Picture Soundtrack),Naomi Scott,5/22/2019,4432,19.8,304588030,27312,63,536055555,5342216
Welcome To The Party,Welcome To The Party,Pop Smoke,5/22/2019,4531,19.6,265520736,102073,61,267792071,2624568
The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),Young Thug,5/23/2019,1438,38.8,729825680,155380,62,286183927,2353107
double take,double take,Dhruv,5/24/2019,1737,35,826685494,106975,76,353174602,2826209
No Idea,No Idea,Don Toliver,5/29/2019,529,66.8,922761340,176497,74,469284408,5223780
Leave Em Alone (Layton Greene Lil Baby feat. City Girls PnB Rock),Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),Quality Control,5/29/2019,2931,25.8,239850720,49483,58,137567703,1400248
The Search,The Search,NF,5/30/2019,1951,32.6,582823215,115214,69,362990075,5824758
Callaita,Callaita,Bad Bunny,5/31/2019,638,60,1448173030,156477,70,1341625876,6392667
YKWIM?,Bipolar,Yot Club,5/31/2019,2681,27.2,675984633,147651,75,118564792,1898029
Heart On Ice,Heart On Ice,Rod Wave,5/31/2019,3659,22.4,320136804,70340,62,300606606,2725053
Iko Iko (My Bestie),Iko Iko (feat. Small Jam),Justin Wellington,6/3/2019,1901,33.3,314672402,85038,64,203831150,1327160
Nada,Error 93,Cazzu,6/3/2019,4053,21.2,204337911,29832,65,640084081,3105166
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,6/7/2019,1155,44.1,,31705,,,
Through Da Storm,Die A Legend,Polo G,6/7/2019,1800,34.3,351007818,105025,64,186297690,1709390
Only Human,Happiness Begins,Jonas Brothers,6/7/2019,2634,27.5,508463163,58919,65,136979542,1457926
No Guidance (feat. Drake),No Guidance (feat. Drake),Chris Brown,6/8/2019,724,56.9,1030515485,157003,70,809218963,5861900
Loco Contigo (feat. J. Balvin & Tyga),Loco Contigo (with J. Balvin feat. Tyga),DJ Snake,6/13/2019,1144,44.4,822696809,141261,68,587804570,5432716
It's You,It's You,Ali Gatie,6/14/2019,1292,41.4,1123039235,140766,72,763620890,9727420
You Need To Calm Down,You Need To Calm Down,Taylor Swift,6/14/2019,2113,31.3,935098853,63937,75,437794062,5982989
Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva,6/14/2019,2372,29.3,211095929,15632,63,325655059,2524096
Amor a Primera Vista,Amor a Primera Vista,Los ï¿½ï¿½ngeles Az,6/14/2019,2644,27.4,346860422,29735,65,888138257,2432863
To the Bone,Flying Solo,Pamungkas,6/14/2019,4221,20.5,442614126,39861,72,461577619,2914234
Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,Drake,6/15/2019,2275,30,970219741,180650,70,243075035,2053120
Te Ire A Buscar,Te Ire a Buscar,Santa Fe Klan,6/18/2019,4106,21,305231016,27465,66,647042101,3851962
Panini,Panini,Lil Nas X,6/20/2019,1003,47.9,741766886,96241,62,659070547,10294151
Shotta Flow [Remix],Shotta Flow (feat. Blueface) [Remix],NLE Choppa,6/20/2019,2720,27,496344788,114433,21,476656319,5123098
Heat,Heat (feat. Gunna),Gunna,6/20/2019,3486,23.1,174090982,34958,55,353442033,2306325
Mount Everest,Mount Everest,Labrinth,6/21/2019,2734,26.9,612159812,128472,72,218832200,3089060
One Thing Right,One Thing Right (feat. Kane Brown),Marshmello,6/21/2019,2763,26.7,545011148,69335,65,312775703,3080420
SUGAR,Big Swag,BROCKHAMPTON,6/22/2019,4346,20.1,507842421,98352,63,75958373,1188192
Hate Me (with Juice WRLD),Hate Me (with Juice WRLD),Ellie Goulding,6/26/2019,1677,35.6,756657781,127019,66,252239122,4118228
When I Grow Up,When I Grow Up,NF,6/27/2019,4542,19.5,353038338,64001,66,309458776,4303644
Ballin' (with Roddy Ricch),Perfect Ten,Mustard,6/28/2019,502,68.7,907346612,200091,69,372311322,3400085
LA CANCIï¿½,OASIS,J Balvin,6/28/2019,570,63.8,1706325903,149957,79,1527773578,6954777
Lalala,Lalala,Y2K,6/28/2019,1010,47.7,968133091,142494,66,707665227,10665380
Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),Ed Sheeran,6/28/2019,1775,34.6,1394345347,119546,66,634929672,4748135
Higher Love,Higher Love,Kygo,6/28/2019,1875,33.6,943137389,117582,67,315848540,1595053
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,6/28/2019,2458,28.8,573785235,104197,71,67117513,621757
QUE PRETENDES,OASIS,J Balvin,6/28/2019,2849,26.2,806817589,85661,71,489443301,2894907
Baguettes in the Face (feat. NAV Playboi Carti & A Boogie Wit da Hoodie),Perfect Ten,Mustard,6/28/2019,3566,22.8,332224927,90422,58,33056892,353473
Tom's Diner,Tom's Diner,AnnenMayKantereit,6/28/2019,3640,22.5,296543065,117924,68,205245834,3566571
Si Supieras,Si Supieras,Daddy Yankee,6/28/2019,3677,22.4,306404848,33666,63,605370523,2987290
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,7/1/2019,1231,42.7,503584339,126610,72,125086953,1299743
ıııııııııı ıııııııııııı,ıııııııııı ıııııııııııı,ALEX&RUS,7/3/2019,460,71.9,52830200,14893,41,263688786,1760965
Goodbyes (feat. Young Thug),Goodbyes (Feat. Young Thug),Post Malone,7/5/2019,761,55.6,1263989128,156671,72,795828166,8115938
South of the Border (feat. Camila Cabello & Cardi B),South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,7/11/2019,2665,27.3,765374782,69032,67,419150011,3838603
On Chill (feat. Jeremih),On Chill (feat. Jeremih),Wale,7/12/2019,3087,24.9,153042459,29703,56,254751675,1876800
Me and My Brother,Me and My Brother,5ive,7/12/2019,4131,20.9,111894875,36302,59,113044166,1165613
"O Saki Saki (From ""Batla House"")","O Saki Saki (From ""Batla House"")",Neha Kakkar,7/15/2019,897,50.9,144985656,15143,57,1662729195,8178016
ORANGE SODA,ORANGE SODA,Baby Keem,7/16/2019,2745,26.8,676690653,183862,73,69181584,992247
Baby (Lil Baby feat. DaBaby),Baby,Quality Control,7/17/2019,2294,29.9,522143496,111477,68,212806984,1853709
I.F.L.Y.,I.F.L.Y.,Bazzi,7/18/2019,4529,19.6,593718503,73008,65,229847460,2270041
China,China,Anuel AA,7/19/2019,376,79.5,1178076574,137559,68,2324673715,9851235
How Do You Sleep?,How Do You Sleep?,Sam Smith,7/19/2019,1931,32.9,972593978,84347,62,489662988,4540879
Did It Again,Did It Again,Lil Tecca,7/24/2019,1923,33,440181206,87099,69,109575448,1082713
Takeaway,World Wide Joy...Takeaway,The Chainsmokers,7/24/2019,4305,20.3,630875899,83848,64,245967184,2535205
Lehanga,Lehanga,Jass Manak,7/25/2019,1305,41.2,41063045,297,,1741817091,12058286
Dior,Meet The Woo,Pop Smoke,7/26/2019,285,91.4,1070422470,294539,72,909072115,7522969
Ride It,Ride It,Regard,7/26/2019,382,78.2,1349427877,220002,76,564022753,3884141
Hasta Abajo,Hasta Abajo,KEVIN ROLDAN,7/26/2019,2702,27.1,380367132,62939,64,663705750,3083081
Baianï¿,Baianï¿,Bakermat,7/26/2019,2739,26.8,402771910,128641,73,131360082,1357948
Sofia,Sofia,Clairo,7/26/2019,2946,25.7,728920951,143829,74,168855750,2336018
July,July,Noah Cyrus,7/31/2019,2927,25.8,977870118,115565,80,122949402,1540598
boyfriend (with Social House),boyfriend,Ariana Grande,8/2/2019,3324,23.8,809537829,72598,71,372025118,5569680
Queen of Mean,Descendants 3 (Original TV Movie Soundtrack),Sarah Jeffery,8/2/2019,4517,19.6,118934988,14432,60,528359923,4933066
F.N,F.N,Lil Tjay,8/9/2019,461,71.7,731933924,186835,70,534384489,4951977
223's (feat. 9lokknine),223's (feat. 9lokknine),YNW Melly,8/9/2019,609,61.4,484542375,97431,64,164470388,1490017
Tutu,Tutu,Camilo,8/9/2019,1908,33.2,594224324,50354,61,903046839,6893168
Hell N Back,Hell N Back (Sped Up),Bakar,8/14/2019,1975,32.4,512194074,180810,71,31571952,420306
Yo x Ti Tu x Mi,Yo x Ti Tu x Mi,ROSALï¿½,8/15/2019,2452,28.8,572697124,76099,65,630335590,4117309
Banana (feat. Shaggy),Banana (feat. Shaggy),Conkarah,8/16/2019,341,82.7,27747363,9067,41,136028794,1352520
Si Te Pudiera Mentir,Simplemente Gracias,Calibre 50,8/16/2019,1444,38.7,497062969,39746,69,1089614100,3109366
Lover,Lover,Taylor Swift,8/16/2019,1507,37.8,1413268808,104435,81,492503095,6305357
Heartless (feat. Morgan Wallen),Heartless (feat. Morgan Wallen),Diplo,8/16/2019,2977,25.5,548333714,58410,77,191331224,1256178
Hot (feat. Gunna),So Much Fun,Young Thug,8/16/2019,3635,22.5,387820994,84975,64,292576551,2516143
Teeth,Teeth,5 Seconds of Summer,8/21/2019,2315,29.7,683247723,103554,71,322965834,5220826
Adicto (with Anuel AA & Ozuna),Adicto (with Anuel AA & Ozuna),Tainy,8/22/2019,871,51.7,711861577,84611,69,1359220447,4586141
Cruel Summer,Lover,Taylor Swift,8/23/2019,451,72.8,2188247133,121479,88,342388433,2291619
hot girl bummer,hot girl bummer,blackbear,8/23/2019,658,59.2,1265080733,198773,70,356598545,5539172
Playing Games,Playing Games,Summer Walker,8/23/2019,3737,22.2,177369022,26786,58,200783046,1614839
Fantasias,Fantasias,Rauw Alejandro,8/29/2019,1253,42.3,663578551,76919,67,1120507756,4714790
Circles,Circles,Post Malone,8/30/2019,170,116,2481391466,332437,80,1116323669,8490012
love nwantiti (ah ah ah),CKay The First,CKay,8/30/2019,256,96.9,853451422,172458,71,1132006963,25943716
Love Nwantiti - Remix,Love Nwantiti (Remix),Dj Yo!,8/30/2019,1613,36.5,596326288,132469,66,486500564,5645146
SOLO - Live,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),BLACKPINK,8/30/2019,2741,26.8,6197708,428,26,1100441738,18179095
Graduation (with Juice WRLD),Graduation (with Juice WRLD),benny blanco,8/30/2019,3869,21.7,358055646,63452,58,79428378,1309138
Doin' Time,Norman Fucking Rockwell!,Lana Del Rey,8/30/2019,4496,19.6,680707791,87833,74,48297331,611115
Khairiyat,Chhichhore,Arijit Singh,8/31/2019,1587,36.8,240571166,23561,65,1362890151,10543675
Shameless,Shameless,Camila Cabello,9/5/2019,3419,23.4,524463179,59700,76,297234963,4259163
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Hollywood's Bleeding,Post Malone,9/6/2019,2203,30.5,622690472,108263,69,261237045,2753871
Bellaquita,Bellaquita,Dalex,9/6/2019,3396,23.5,207093355,33813,55,683691095,3379761
8 Parche,8 Parche,Baani Sandhu,9/12/2019,1436,38.8,96829196,9383,58,1058000530,6138968
Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,9/13/2019,2594,27.7,589145587,130464,71,235289339,3294641
Camelot,Camelot,NLE Choppa,9/13/2019,2854,26.1,537163250,117513,69,299438117,2767933
Piensan,Piensan,Myke Towers,9/13/2019,4059,21.1,387094388,61560,70,439612099,2226916
Turn Me On (feat. Vula),Turn Me On (feat. Vula),Riton,9/13/2019,4230,20.5,399276193,102234,64,60323387,518058
Pump It Up,Pump It Up,Endor,9/13/2019,4386,20,352268839,130479,66,37251936,317013
Memories,Memories,Maroon 5,9/20/2019,194,109.3,2011072164,222804,77,1290292327,11720744
Crazy Story,Grandson Vol. 1,King Von,9/20/2019,4521,19.6,261230912,38453,65,1001379,14464
Feel Special,Feel Special,TWICE,9/23/2019,4251,20.5,361382812,27358,64,607728749,5763424
Lose Control,Get To Know,MEDUZA,9/27/2019,604,61.6,932911098,180309,66,412062322,4053612
BOP,KIRK,DaBaby,9/27/2019,1021,47.5,820923123,158363,68,661665888,6303898
